"law_id","title","path_pdf","reason"
"1","","Izborni zakon Republike Srpske-61_24.pdf","Naziv ne odgovara PDF nazivu"
"3","Zakon o izmjenama i dopunama zakona o suzbijanju organizovanog i najte?ih oblika privrednog kriminala","Porodi?ni zakon-17_23.pdf","Naziv ne odgovara PDF nazivu"
"4","ZAKON O NEPRIMJENJIVANJU ODLUKA USTAVNOG SUDA BOSNE I HERCEGOVINE","ZAKON O IZMJENI ZAKONA O OBJAVLJIVANJU ZAKONA I DRUGIH PROPISA REPUBLIKE SRPSKE-60_23.pdf","Naziv ne odgovara PDF nazivu"
"5","ZAKON O NEPRIMJENJIVANJU ODLUKA USTAVNOG SUDA BOSNE I HERCEGOVINE","ZAKON O IZMJENI ZAKONA O OBJAVLJIVANJU ZAKONA I DRUGIH PROPISA REPUBLIKE SRPSKE-60_23.pdf","Naziv ne odgovara PDF nazivu"
"6","Zakon o lovstvu","Zako o dopuni Zakona o bankama Republike Srpske-63_24.pdf","Naziv ne odgovara PDF nazivu"
"7","Zakon o koncesijama","Zakon o Agenciji za bankarstvo Republike Srpske-59_13.pdf","Naziv ne odgovara PDF nazivu"
"8","Zakon o izmjenama Zakona o notarima","Zakon o Agenciji za informaciono-komunikacione tehnologije-90_23.pdf","Naziv ne odgovara PDF nazivu"
"10","Zakon o statusu funkcion?ra j?dinica lokaln? samouprav?","Zakon o Ag?nciji za posr?dni?k?, informati?k? i finansijsk? uslug?-96_05.pdf","Naziv ne odgovara PDF nazivu"
"11","Zakoni o izmjenama i dopuni Zakona o obnovljivim izvorima energije i efikasnoj kogeneraciji","Zakon o Akademiji nauka i umjetnosti Republike Srpske-108_13.pdf","Naziv ne odgovara PDF nazivu"
"12","Zakon o trezoru","Zakon o Akcijskom fondu Republike Srpske-28_13.pdf","Naziv ne odgovara PDF nazivu"
"14","Zakon o izmjenama i dopunama Zakona o dr?avnim slu?benicima","Zakon o Fondu i finansiranju za?tite ?ivotne sredine Republike Srpske-117_11.pdf","Naziv ne odgovara PDF nazivu"
"15","Zakon o Fondu solidarnosti Republike Srpske","Zakon o Agenciji za informaciono-komunikacione tehnologije-90_23.pdf","Naziv ne odgovara PDF nazivu"
"16","Zakon o izmjeni i dopunama Zakona o pravima boraca, vojnih invalida i porodica poginulih boraca Odbrambeno-otad?binskog rata Republike Srpske","Zakon o Fondu solidarnosti za dijagnostiku i lije?enje oboljenja, stanja i povreda djece u inostranstvu-100_17.pdf","Naziv ne odgovara PDF nazivu"
"21","Zakon o prestanku va?enja Zakona o ombudsmanu Republike Srpske ? za?titniku ljudskih prava","Zakon o Gradu Bijeljina-70_12.pdf","Naziv ne odgovara PDF nazivu"
"22","Zakon o slobodnim zonama Republike Srpske","Zakon o Gradu Deventa-15_21.pdf","Naziv ne odgovara PDF nazivu"
"23","Zakon o Gradu Doboj","Zakon o Gradu Bijeljina-70_12.pdf","Naziv ne odgovara PDF nazivu"
"24","Zakon o izmjeni i dopunama Zakona o teritorijalnoj organizaciji Republike Srpske","Zakon o Gradu Gradi?ka-26_19.pdf","Naziv ne odgovara PDF nazivu"
"25","Zakon o izmjeni i dopunama Zakona o teritorijalnoj organizaciji Republike Srpske","Zakon o Gradu Lakta?i-37_22.pdf","Naziv ne odgovara PDF nazivu"
"26","Zakon o Gradu Prijedor","Zakon o Gradu Bijeljina-70_12.pdf","Naziv ne odgovara PDF nazivu"
"27","Zakon o izmjeni i dopunama Zakona o teritorijalnoj organizaciji Republike Srpske","Zakon o Gradu Prnjavor-32_23.pdf","Naziv ne odgovara PDF nazivu"
"28","Zakon o izmjenama i dopunama Zakona o srednjem obrazovanju i vaspitanju","Zakon o Gradu Tesli?-45_25.pdf","Naziv ne odgovara PDF nazivu"
"29","Zakon o Gradu Trebinje","Zakon o Gradu Bijeljina-70_12.pdf","Naziv ne odgovara PDF nazivu"
"33","Zakon o obrazovanju odraslih","Zakon o Komori in?enjera poljoprivrede Republike Srpske-59_09.pdf","Naziv ne odgovara PDF nazivu"
"35","Zakon o za?titi i spasavanju u vanrednim situacijama","Zakon o Nacionalnom parku ?Kozara?-121_12.pdf","Naziv ne odgovara PDF nazivu"
"37","Zakon o ugostiteljstvu","Zakon o Poreskoj upravi-112_07.pdf","Naziv ne odgovara PDF nazivu"
"38","Zakono neprimjenjivanju Zakona i zabrani djelovanja vanustavnih institucija BiH","Zakon o Posebnom registru i javnosti rada neprofitnih organizacija-19_25.pdf","Naziv ne odgovara PDF nazivu"
"39","Zakon o izmjenama i dopunama Zakona o Fondu za razvoj i zapo?ljavanje Republike Srpske","Zakon o Posebnom registru lica pravosna?no osu?enih za krivi?na djela seksualne zloupotrebe i iskori?tavanja djece-28_23.pdf","Naziv ne odgovara PDF nazivu"
"45","Zakon o Visokom sudskom i tu?ila?kom savjetu republike Srpske","Zakon o Posebnom registru i javnosti rada neprofitnih organizacija-19_25.pdf","Naziv ne odgovara PDF nazivu"
"48","Zakon o izmj?nama i dopunama Zakona o ?ksproprijaciji","Zakon o administrativnim taksama-100_11.pdf","Naziv ne odgovara PDF nazivu"
"49","Zakon o izmjenama i dopunama zakona o centru za edukaciju sudija i javnih tu?ilaca u Republici Srpskoj","Zakon o advokaturi Republike Srpske-30_07.pdf","Naziv ne odgovara PDF nazivu"
"50","Zakon o vinu","Zakon o advokaturi Republike Srpske-80_15.pdf","Naziv ne odgovara PDF nazivu"
"51","Zakon o unutra?njim poslovima","Zakon o agencijama za obezbje?enje lica i imovine i privatnoj detektivskoj djelatnosti-4_12.pdf","Naziv ne odgovara PDF nazivu"
