id,title,db_path_pdf,db_pdf_name,mismatch_pdf_name,mismatch_path_pdf,similarity,gazette_key,gazette_number,gazette_date,source_url,review_notes,new_path_pdf
21,Zakon o prestanku važenja Zakona o ombudsmanu Republike Srpske – zaštitniku ljudskih prava,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama Zakona o prenosu prava svojine na kapitalu Republike Srpske u lokalnim radio-televizijskim stanicama na jedinice lokalne samouprave-70_12.pdf,Zakon o izmjenama Zakona o prenosu prava svojine na kapitalu Republike Srpske u lokalnim radio-televizijskim stanicama na jedinice lokalne samouprave-70_12.pdf,Zakon o izmjenama Zakona o prenosu prava svojine na kapitalu Republike Srpske u lokalnim radio-televizijskim stanicama na jedinice lokalne samouprave-70_12.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama Zakona o prenosu prava svojine na kapitalu Republike Srpske u lokalnim radio-televizijskim stanicama na jedinice lokalne samouprave-70_12.pdf,0.208,70_12,70/12,2012-07-10,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-gradu-bijeljina,,
140,Zakon o izmjeni Zakona o poljoprivredi,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o gasu-86_07.pdf,Zakon o gasu-86_07.pdf,Zakon o gasu-86_07.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o gasu-86_07.pdf,0.143,86_07,86/07,2007-09-11,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-gasu,,
204,Zakon o izmjeni Zakona o sprovođenju odluka Komisije za zaštitu nacionalnih spomenika ustanovljene u skladu sa Aneksom 8. Opšteg okvirnog sporazuma za mir u Bosni i Hercegovini,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama Zakona o platama zaposlenih u oblasti prosvjete i kulture Republike Srpske-64_08.pdf,Zakon o izmjenama Zakona o platama zaposlenih u oblasti prosvjete i kulture Republike Srpske-64_08.pdf,Zakon o izmjenama Zakona o platama zaposlenih u oblasti prosvjete i kulture Republike Srpske-64_08.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama Zakona o platama zaposlenih u oblasti prosvjete i kulture Republike Srpske-64_08.pdf,0.067,64_08,64/08,2008-06-24,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-izmjeni-zakona-o-sprovo%C4%91enju-odluka-komisije-za-za%C5%A1titu-nacionalnih,,
257,Zakon o dopuni Zakona o tržištu hartija od vrijednosti,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o Poreskoj upravi-34_09.pdf,Zakon o izmjenama i dopunama Zakona o Poreskoj upravi-34_09.pdf,Zakon o izmjenama i dopunama Zakona o Poreskoj upravi-34_09.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o Poreskoj upravi-34_09.pdf,0.154,34_09,34/09,2009-04-07,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-dopuni-zakona-o-otpisu-potra%C5%BEivanja,,
263,Zakon o izmjeni Zakona o stranim ulaganjima,"D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o agenciji za posredničke, informatičke i finansijske usluge-68_13.pdf","Zakon o izmjenama i dopunama Zakona o agenciji za posredničke, informatičke i finansijske usluge-68_13.pdf","Zakon o izmjenama i dopunama Zakona o agenciji za posredničke, informatičke i finansijske usluge-68_13.pdf","D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o agenciji za posredničke, informatičke i finansijske usluge-68_13.pdf",0.133,68_13,68/13,2013-07-18,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-izmjeni-zakona-o-elektronskom-potpisu-republike-srpske,,
311,Закон о измјенама и допунама Закона о експропријацији,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o izvršnom postupku-57_12.pdf,Zakon o izmjenama i dopunama Zakona o izvršnom postupku-57_12.pdf,Zakon o izmjenama i dopunama Zakona o izvršnom postupku-57_12.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o izvršnom postupku-57_12.pdf,0,57_12,57/12,2012-06-06,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD-%D0%BE-%D0%B8%D0%B7%D0%BC%D1%98%D0%B5%D0%BD%D0%B0%D0%BC%D0%B0-%D0%B8-%D0%B4%D0%BE%D0%BF%D1%83%D0%BD%D0%B0%D0%BC%D0%B0-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0-%D0%BE-%D1%83%D0%B3%D0%BE%D1%81%D1%82%D0%B8%D1%82%D0%B5%D1%99%D1%81%D1%82%D0%B2%D1%83,,
430,"Zakon o dopuni Zakona o privatizaciji poslovnih zgrada, poslovnih prostorija i garaža",D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o tržištu hartija od vrijednosti-30_12.pdf,Zakon o izmjenama i dopunama Zakona o tržištu hartija od vrijednosti-30_12.pdf,Zakon o izmjenama i dopunama Zakona o tržištu hartija od vrijednosti-30_12.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o tržištu hartija od vrijednosti-30_12.pdf,0.125,30_12,30/12,2012-03-14,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-dopuni-zakona-o-privatizaciji-poslovnih-zgrada-poslovnih-prostorija-i,,
473,Zakon o transfuzijskoj djelatnosti,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o zdravstvenoj zaštiti-44_15.pdf,Zakon o izmjenama i dopunama Zakona o zdravstvenoj zaštiti-44_15.pdf,Zakon o izmjenama i dopunama Zakona o zdravstvenoj zaštiti-44_15.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjenama i dopunama Zakona o zdravstvenoj zaštiti-44_15.pdf,0.1,44_15,44/15,2015-05-21,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-sto%C4%8Darstvu-1,,
545,Zakon o izmjeni i dopunama Zakona o policiji i unutrašnjim poslovima,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjeni Zakona o sjemenu poljoprivrednog bilja-90_21.pdf,Zakon o izmjeni Zakona o sjemenu poljoprivrednog bilja-90_21.pdf,Zakon o izmjeni Zakona o sjemenu poljoprivrednog bilja-90_21.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjeni Zakona o sjemenu poljoprivrednog bilja-90_21.pdf,0.25,90_21,,2021-10-19,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-izmjeni-i-dopunama-zakona-o-policiji-i-unutra%C5%A1njim-poslovima,,
574,Zakonu o izmjеnama i dopuni Zakona o posеbnim rеpubličkim taksama,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjеnama i dopunam Zakona o posеbnim načinima izmirеnja porеskog duga-52_14.pdf,Zakon o izmjеnama i dopunam Zakona o posеbnim načinima izmirеnja porеskog duga-52_14.pdf,Zakon o izmjеnama i dopunam Zakona o posеbnim načinima izmirеnja porеskog duga-52_14.pdf,D:\Projekti\Regulativa\Dokumenti\RepublikaSrpska\PDF\Zakon o izmjеnama i dopunam Zakona o posеbnim načinima izmirеnja porеskog duga-52_14.pdf,0.2,52_14,52/14,2014-06-15,https://www.narodnaskupstinars.net/?q=la/akti/usvojeni-zakoni/zakon-o-dopuni-zakona-o-spr%D0%B5%C4%8Davanju-sukoba-int%D0%B5r%D0%B5sa-u-organima-vlasti-r%D0%B5publik%D0%B5,,
