law_id,title,url,pdf_path
8643,"Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine-2021.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine-2021.pdf"
8710,"Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine-2021.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje iz 2021. godine-2021.pdf"
8866,"Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine-2021.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga iz 2021. godine-2021.pdf"
8876,"Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o opstoj bezbjednosti proizvoda Sl.list CG br. 13-18-2020.pdf"
8881,"Zakon o turizmu i ugostiteljstvu","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o turizmu i ugostiteljstvu-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o turizmu i ugostiteljstvu-2020.pdf"
8882,"Zakon o porezu na dodatu vrijednost iz 2020.godine","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dodatu vrijednost iz 2020.godine-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dodatu vrijednost iz 2020.godine-2020.pdf"
8884,"Zakon o fiskalizaciji u prometu proizvoda i usluga","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf"
8921,"Zakon o nadzoru proizvoda na trzistu Sl.list CG br. 43-18","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o nadzoru proizvoda na trzistu Sl.list CG br. 43-18-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o nadzoru proizvoda na trzistu Sl.list CG br. 43-18-2020.pdf"
8923,"Zakon o vojno-obavjestajnim i bezbjednosnim poslovima","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o vojno-obavjestajnim i bezbjednosnim poslovima-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o vojno-obavjestajnim i bezbjednosnim poslovima-2020.pdf"
8924,"Zakon o tajnosti podataka","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o tajnosti podataka-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o tajnosti podataka-2020.pdf"
